,Unnamed: 0,num_cands,num_voters,generation,decision_rule,vm,mean,est_std_error,variance,num_trials,max_std_error,initial_trials,step_trials,min_num_trials,pref_voting_version
39,3,6,20,1,max,Instant Runoff PUT,0.0229352972624018,0.0003291741795432,0.0071010868987255,65536,0.0005,4096,4096,4095,1.13.20
40,4,6,20,1,max,Minimax,0.0104884559392569,0.0001995206817041,0.0026088502065997,65536,0.0005,4096,4096,4095,1.13.20
41,5,6,20,1,max,Stable Voting,0.0206651476972488,0.0003903941713998,0.0099880326599401,65536,0.0005,4096,4096,4095,1.13.20
42,6,6,20,1,max,Split Cycle,0.0110239568630205,0.0002034694339677,0.0027131365849952,65536,0.0005,4096,4096,4095,1.13.20
43,7,6,20,1,max,Strict Nanson,0.0140616104975536,0.0002782044663742,0.0050722599151223,65536,0.0005,4096,4096,4095,1.13.20
44,8,6,20,1,max,Blacks,0.0338285563016471,0.0004455393119446,0.0130090434257188,65536,0.0005,4096,4096,4095,1.13.20
45,0,6,5,1,max,Plurality,0.0611641825569547,0.0003481173117305,0.0148911730501742,122880,0.0005,4096,4096,4095,1.13.20
46,1,6,5,1,max,Borda,0.0979774055439411,0.000490654206326,0.0295820809452432,122880,0.0005,4096,4096,4095,1.13.20
47,2,6,5,1,max,Instant Runoff,0.065395303457348,0.0004918013162253,0.0297205636681443,122880,0.0005,4096,4096,4095,1.13.20
48,3,6,5,1,max,Instant Runoff PUT,0.0446809295117827,0.0003336569613835,0.0136797464860877,122880,0.0005,4096,4096,4095,1.13.20
49,4,6,5,1,max,Minimax,0.0260970639618184,0.0002073010228681,0.0052805670127041,122880,0.0005,4096,4096,4095,1.13.20
50,5,6,5,1,max,Stable Voting,0.0545804473036367,0.0004246311877518,0.022156514701101,122880,0.0005,4096,4096,4095,1.13.20
51,6,6,5,1,max,Split Cycle,0.0261463999081806,0.0002047626639476,0.0051520398137011,122880,0.0005,4096,4096,4095,1.13.20
52,7,6,5,1,max,Strict Nanson,0.0474138395347522,0.0004057594513545,0.0202308885521037,122880,0.0005,4096,4096,4095,1.13.20
53,8,6,5,1,max,Blacks,0.0619680287605769,0.0004390491879197,0.0236866708308779,122880,0.0005,4096,4096,4095,1.13.20
54,0,3,21,1,max,Plurality,0.0135756966487442,0.0003779826708857,0.0040962515592764,28672,0.0005,4096,4096,4095,1.13.20
55,1,3,21,1,max,Borda,0.0206839237622399,0.0004657754542712,0.0062200809516644,28672,0.0005,4096,4096,4095,1.13.20
56,2,3,21,1,max,Instant Runoff,0.012995822905312,0.0004824063400145,0.0066721969062047,28672,0.0005,4096,4096,4095,1.13.20
57,3,3,21,1,max,Instant Runoff PUT,0.012569432887918,0.0004367423563222,0.0054688179499404,28672,0.0005,4096,4096,4095,1.13.20
58,4,3,21,1,max,Minimax,0.0058005436827185,0.0002434667024154,0.00169950320479,28672,0.0005,4096,4096,4095,1.13.20
59,5,3,21,1,max,Stable Voting,0.0058005436827185,0.0002434667024154,0.00169950320479,28672,0.0005,4096,4096,4095,1.13.20
60,6,3,21,1,max,Split Cycle,0.0058005436827185,0.0002434667024154,0.00169950320479,28672,0.0005,4096,4096,4095,1.13.20
61,7,3,21,1,max,Strict Nanson,0.0077939315775124,0.0003898629064593,0.0043577937639155,28672,0.0005,4096,4096,4095,1.13.20
62,8,3,21,1,max,Blacks,0.0084630853212144,0.0003934419635972,0.0044381727084608,28672,0.0005,4096,4096,4095,1.13.20
63,0,3,11,1,max,Plurality,0.017501761244624,0.0003872072279962,0.0055268488513382,36864,0.0005,4096,4096,4095,1.13.20
64,1,3,11,1,max,Borda,0.0301107039613379,0.0004881245852233,0.0087831852072138,36864,0.0005,4096,4096,4095,1.13.20
65,2,3,11,1,max,Instant Runoff,0.0114828247258032,0.0004503967021756,0.0074779245702968,36864,0.0005,4096,4096,4095,1.13.20
66,3,3,11,1,max,Instant Runoff PUT,0.0135472158894509,0.0004380378496124,0.0070731676640417,36864,0.0005,4096,4096,4095,1.13.20
67,4,3,11,1,max,Minimax,0.0080672795784701,0.0002480117159132,0.0022674361713793,36864,0.0005,4096,4096,4095,1.13.20
68,5,3,11,1,max,Stable Voting,0.0080672795784701,0.0002480117159132,0.0022674361713793,36864,0.0005,4096,4096,4095,1.13.20
69,6,3,11,1,max,Split Cycle,0.0080672795784701,0.0002480117159132,0.0022674361713793,36864,0.0005,4096,4096,4095,1.13.20
70,7,3,11,1,max,Strict Nanson,0.0131734772110836,0.0004308376512363,0.0068425499355496,36864,0.0005,4096,4096,4095,1.13.20
71,8,3,11,1,max,Blacks,0.0116333726235311,0.0004081139221738,0.0061397897131016,36864,0.0005,4096,4096,4095,1.13.20
72,0,3,10,1,max,Plurality,0.0223339128408519,0.0003916735430182,0.0069118048425572,45056,0.0005,4096,4096,4095,1.13.20
73,1,3,10,1,max,Borda,0.0318621061638891,0.0004512480644456,0.0091743160698279,45056,0.0005,4096,4096,4095,1.13.20
74,2,3,10,1,max,Instant Runoff,0.0256278490099337,0.000499782357928,0.0112539462706184,45056,0.0005,4096,4096,4095,1.13.20
75,3,3,10,1,max,Instant Runoff PUT,0.0101876459944401,0.0002484568922484,0.0027812824242619,45056,0.0005,4096,4096,4095,1.13.20
76,4,3,10,1,max,Minimax,0.0104689756919784,0.0002577138099588,0.002992391255388,45056,0.0005,4096,4096,4095,1.13.20
77,5,3,10,1,max,Stable Voting,0.0249795329253228,0.0004030284745055,0.0073183715641229,45056,0.0005,4096,4096,4095,1.13.20
78,6,3,10,1,max,Split Cycle,0.0104689756919784,0.0002577138099588,0.002992391255388,45056,0.0005,4096,4096,4095,1.13.20
79,7,3,10,1,max,Strict Nanson,0.0112364930793266,0.0002804406849053,0.0035434395825355,45056,0.0005,4096,4096,4095,1.13.20
80,8,3,10,1,max,Blacks,0.0293578658046833,0.0004394957396423,0.0087026663401551,45056,0.0005,4096,4096,4095,1.13.20
81,0,3,6,1,max,Plurality,0.0187451122249238,0.0003290169054648,0.0048772994505001,45056,0.0005,4096,4096,4095,1.13.20
82,1,3,6,1,max,Borda,0.0401732355991062,0.0004940895131756,0.0109990269609444,45056,0.0005,4096,4096,4095,1.13.20
83,2,3,6,1,max,Instant Runoff,0.0118782350672899,0.0002469739197209,0.0027481800524409,45056,0.0005,4096,4096,4095,1.13.20
84,3,3,6,1,max,Instant Runoff PUT,0.0117208643703838,0.000247614567132,0.0027624560370818,45056,0.0005,4096,4096,4095,1.13.20
85,4,3,6,1,max,Minimax,0.0129749812751335,0.0002756953300723,0.0034245366113936,45056,0.0005,4096,4096,4095,1.13.20
86,5,3,6,1,max,Stable Voting,0.0369489206053831,0.0004753547770642,0.0101807253025275,45056,0.0005,4096,4096,4095,1.13.20
87,6,3,6,1,max,Split Cycle,0.0129749812751335,0.0002756953300723,0.0034245366113936,45056,0.0005,4096,4096,4095,1.13.20
88,7,3,6,1,max,Strict Nanson,0.0129749812751335,0.0002756953300723,0.0034245366113936,45056,0.0005,4096,4096,4095,1.13.20
89,8,3,6,1,max,Blacks,0.0394442707907582,0.0004898916811843,0.0108129233304726,45056,0.0005,4096,4096,4095,1.13.20
90,0,3,20,1,max,Plurality,0.0145167268237886,0.0004011477676829,0.0046137238881231,28672,0.0005,4096,4096,4095,1.13.20
91,1,3,20,1,max,Borda,0.0222815708764229,0.0004828517776948,0.0066845243563653,28672,0.0005,4096,4096,4095,1.13.20
92,2,3,20,1,max,Instant Runoff,0.0117268177232844,0.0004595267372835,0.006054306619545,28672,0.0005,4096,4096,4095,1.13.20
93,3,3,20,1,max,Instant Runoff PUT,0.0103373295870457,0.000382976084831,0.0042051951107919,28672,0.0005,4096,4096,4095,1.13.20
94,4,3,20,1,max,Minimax,0.0062492434433158,0.0002555309966949,0.0018721042041859,28672,0.0005,4096,4096,4095,1.13.20
95,5,3,20,1,max,Stable Voting,0.013407974625474,0.000379017330355,0.0041187077535978,28672,0.0005,4096,4096,4095,1.13.20
96,6,3,20,1,max,Split Cycle,0.0062492434433158,0.0002555309966949,0.0018721042041859,28672,0.0005,4096,4096,4095,1.13.20
97,7,3,20,1,max,Strict Nanson,0.0069836607408576,0.0003052309454425,0.0026711603806291,28672,0.0005,4096,4096,4095,1.13.20
98,8,3,20,1,max,Blacks,0.0179555544928781,0.0004560864564057,0.0059639939282547,28672,0.0005,4096,4096,4095,1.13.20
99,0,3,5,1,max,Plurality,0.0178405215463891,0.000354010957827,0.0056464619284789,45056,0.0005,4096,4096,4095,1.13.20
100,1,3,5,1,max,Borda,0.0393085857958558,0.0004894804377949,0.0107947769647202,45056,0.0005,4096,4096,4095,1.13.20
101,2,3,5,1,max,Instant Runoff,0.0166961323797638,0.0004939762847374,0.0109939863360778,45056,0.0005,4096,4096,4095,1.13.20
102,3,3,5,1,max,Instant Runoff PUT,0.0166961323797638,0.0004939762847374,0.0109939863360778,45056,0.0005,4096,4096,4095,1.13.20
103,4,3,5,1,max,Minimax,0.0095803217479359,0.0002271001672436,0.0023236884650218,45056,0.0005,4096,4096,4095,1.13.20
104,5,3,5,1,max,Stable Voting,0.0095803217479359,0.0002271001672436,0.0023236884650218,45056,0.0005,4096,4096,4095,1.13.20
105,6,3,5,1,max,Split Cycle,0.0095803217479359,0.0002271001672436,0.0023236884650218,45056,0.0005,4096,4096,4095,1.13.20
106,7,3,5,1,max,Strict Nanson,0.0154498885054299,0.0003875522616578,0.0067671148197781,45056,0.0005,4096,4096,4095,1.13.20
107,8,3,5,1,max,Blacks,0.0136741648798457,0.0003615767748822,0.0058903899630674,45056,0.0005,4096,4096,4095,1.13.20
108,0,5,21,1,max,Plurality,0.0318382187140721,0.0003860635875481,0.0085466928040572,57344,0.0005,4096,4096,4095,1.13.20
109,1,5,21,1,max,Borda,0.0401148092911261,0.0004962027475803,0.0141188309904383,57344,0.0005,4096,4096,4095,1.13.20
110,2,5,21,1,max,Instant Runoff,0.0266120563561492,0.0004964437330653,0.0141325482040683,57344,0.0005,4096,4096,4095,1.13.20
111,3,5,21,1,max,Instant Runoff PUT,0.0228626654652658,0.0003739219896366,0.0080175637524642,57344,0.0005,4096,4096,4095,1.13.20
112,4,5,21,1,max,Minimax,0.0095686909248553,0.0002066702899163,0.0024492691226409,57344,0.0005,4096,4096,4095,1.13.20
113,5,5,21,1,max,Stable Voting,0.0139822709247292,0.0003458312679911,0.0068581807056735,57344,0.0005,4096,4096,4095,1.13.20
114,6,5,21,1,max,Split Cycle,0.0094780319456791,0.0002039758928288,0.0023858223112979,57344,0.0005,4096,4096,4095,1.13.20
115,7,5,21,1,max,Strict Nanson,0.0141076776408015,0.0003593588590279,0.0074052056098456,57344,0.0005,4096,4096,4095,1.13.20
116,8,5,21,1,max,Blacks,0.0191295258892753,0.000381958998936,0.0083659237696569,57344,0.0005,4096,4096,4095,1.13.20
117,0,5,11,1,max,Plurality,0.0400492612133815,0.0003565525625767,0.0104143403420411,81920,0.0005,4096,4096,4095,1.13.20
118,1,5,11,1,max,Borda,0.0600952229210297,0.0004938714498492,0.0199807821063221,81920,0.0005,4096,4096,4095,1.13.20
119,2,5,11,1,max,Instant Runoff,0.032117164226715,0.0004802014915988,0.0188899866764938,81920,0.0005,4096,4096,4095,1.13.20
120,3,5,11,1,max,Instant Runoff PUT,0.0299284936478928,0.0003820044518665,0.0119542267826594,81920,0.0005,4096,4096,4095,1.13.20
121,4,5,11,1,max,Minimax,0.0168240565667275,0.0002230317822604,0.0040749112264116,81920,0.0005,4096,4096,4095,1.13.20
122,5,5,11,1,max,Stable Voting,0.027772439522382,0.0003934442481968,0.0126809281995193,81920,0.0005,4096,4096,4095,1.13.20
123,6,5,11,1,max,Split Cycle,0.0166025963651231,0.0002205954730239,0.0039863720915506,81920,0.0005,4096,4096,4095,1.13.20
124,7,5,11,1,max,Strict Nanson,0.026158919531651,0.0003989777935146,0.013040135091203,81920,0.0005,4096,4096,4095,1.13.20
125,8,5,11,1,max,Blacks,0.0337243532255938,0.0004194574306018,0.014413200451721,81920,0.0005,4096,4096,4095,1.13.20
126,0,5,10,1,max,Plurality,0.0420943213860757,0.0003568642818622,0.0109541922292744,86016,0.0005,4096,4096,4095,1.13.20
127,1,5,10,1,max,Borda,0.0629928371019598,0.0004912038323524,0.0207538028409956,86016,0.0005,4096,4096,4095,1.13.20
128,2,5,10,1,max,Instant Runoff,0.039965107205249,0.0004266294044742,0.0156558179832652,86016,0.0005,4096,4096,4095,1.13.20
129,3,5,10,1,max,Instant Runoff PUT,0.0243915489301769,0.0002564488419551,0.0056568632245809,86016,0.0005,4096,4096,4095,1.13.20
130,4,5,10,1,max,Minimax,0.0185930859286125,0.0002308531464956,0.0045840124688662,86016,0.0005,4096,4096,4095,1.13.20
131,5,5,10,1,max,Stable Voting,0.0411847228413961,0.0004519192603361,0.0175669310014657,86016,0.0005,4096,4096,4095,1.13.20
132,6,5,10,1,max,Split Cycle,0.0197334459626872,0.0002380129487201,0.004872763835684,86016,0.0005,4096,4096,4095,1.13.20
133,7,5,10,1,max,Strict Nanson,0.0236863928604631,0.0002925972275398,0.0073640140275683,86016,0.0005,4096,4096,4095,1.13.20
134,8,5,10,1,max,Blacks,0.0573604222924708,0.0004792716582915,0.0197577592498053,86016,0.0005,4096,4096,4095,1.13.20
135,0,5,6,1,max,Plurality,0.0416630667314895,0.0003219949379335,0.0106168041008776,102400,0.0005,4096,4096,4095,1.13.20
136,1,5,6,1,max,Borda,0.0818729899569298,0.0004977343179448,0.0253682720695789,102400,0.0005,4096,4096,4095,1.13.20
137,2,5,6,1,max,Instant Runoff,0.0364881566980899,0.0003460125895324,0.0122596907958623,102400,0.0005,4096,4096,4095,1.13.20
138,3,5,6,1,max,Instant Runoff PUT,0.0281898370446147,0.0002261060848845,0.0052350425461111,102400,0.0005,4096,4096,4095,1.13.20
139,4,5,6,1,max,Minimax,0.0255618469215234,0.0002397450659058,0.0058856586568284,102400,0.0005,4096,4096,4095,1.13.20
140,5,5,6,1,max,Stable Voting,0.0601706806119311,0.0004721190851456,0.02282437159279,102400,0.0005,4096,4096,4095,1.13.20
141,6,5,6,1,max,Split Cycle,0.0263304013422799,0.0002425469209139,0.006024031676704,102400,0.0005,4096,4096,4095,1.13.20
142,7,5,6,1,max,Strict Nanson,0.0290943261585282,0.000268537282226,0.0073842245349328,102400,0.0005,4096,4096,4095,1.13.20
