,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
119,Minimax,"(8,)",optimize,0.0003773113352134398,1,-0.0004290301,3,10,"(0, 0)"
142,Plurality,"(512,)",optimize,0.00047245616850127365,1,0.023401508,3,10,"(0, 0)"
138,Plurality,"(4,)",optimize,0.0004943378334859938,1,0.014547864,3,10,"(0, 0)"
136,Plurality,"(32,)",optimize,0.0004794610865141809,1,0.02082933,3,10,"(0, 0)"
132,Plurality,"(256,)",optimize,0.0004992899226587276,1,0.023026077,3,10,"(0, 0)"
128,Plurality,"(16,)",optimize,0.00047243453253678353,1,0.01957256,3,10,"(0, 0)"
125,Plurality,"(128,)",optimize,0.00047096894871132754,1,0.022415569,3,10,"(0, 0)"
121,Plurality,"(1024,)",optimize,0.0004691974472371264,1,0.023552654,3,10,"(0, 0)"
116,Minimax,"(64,)",optimize,0.00047628441469927887,1,0.002520111,3,10,"(0, 0)"
112,Minimax,"(512,)",optimize,0.00045122261637073097,1,0.0015281588,3,10,"(0, 0)"
108,Minimax,"(4,)",optimize,0.0004864944403099464,1,-0.0032135523,3,10,"(0, 0)"
106,Minimax,"(32,)",optimize,0.0004919902883044986,1,0.00086494413,3,10,"(0, 0)"
146,Plurality,"(64,)",optimize,0.0004963736411253739,1,0.022478435,3,10,"(0, 0)"
102,Minimax,"(256,)",optimize,0.0004902976775878005,1,0.0030196712,3,10,"(0, 0)"
95,Minimax,"(128,)",optimize,0.00047477938080727156,1,0.002371086,3,10,"(0, 0)"
91,Minimax,"(1024,)",optimize,0.00044101082064538333,1,0.001829376,3,10,"(0, 0)"
89,Instant Runoff PUT,"(8,)",optimize,0.0003816988841997281,1,0.0023172197,3,10,"(0, 0)"
86,Instant Runoff PUT,"(64,)",optimize,0.0004852513470566839,1,0.0027546245,3,10,"(0, 0)"
82,Instant Runoff PUT,"(512,)",optimize,0.0004626841931540632,1,0.004265977,3,10,"(0, 0)"
78,Instant Runoff PUT,"(4,)",optimize,0.0004495212353071866,1,0.00061870087,3,10,"(0, 0)"
76,Instant Runoff PUT,"(32,)",optimize,0.00046226385432988253,1,0.0018576451,3,10,"(0, 0)"
72,Instant Runoff PUT,"(256,)",optimize,0.00045961395634862675,1,0.0036721996,3,10,"(0, 0)"
68,Instant Runoff PUT,"(16,)",optimize,0.00038254456145798564,1,0.0019900561,3,10,"(0, 0)"
