,num_cands,num_voters,generation,decision_rule,vm,mean,est_std_error,variance,num_trials,max_std_error,initial_trials,step_trials,min_num_trials,pref_voting_version
0,4,20,1,max,Plurality,0.03434908776452581,0.0004064117082846942,0.009471370641444748,57344,0.0005,4096,4096,4095,0.4.42
1,4,20,1,max,Borda,0.04342945471986568,0.0004993207572087872,0.014296826637007517,57344,0.0005,4096,4096,4095,0.4.42
2,4,20,1,max,Instant Runoff,0.02820018674864879,0.0004774411481386522,0.013071339713477436,57344,0.0005,4096,4096,4095,0.4.42
3,4,20,1,max,Instant Runoff PUT,0.026377960379976504,0.00040461521860320464,0.009387821804111173,57344,0.0005,4096,4096,4095,0.4.42
4,4,20,1,max,Minimax,0.016112243571903672,0.00027660483177620977,0.00438732628873683,57344,0.0005,4096,4096,4095,0.4.42
5,4,20,1,max,Stable Voting,0.02741420324487234,0.0004475890832968653,0.011487866530439988,57344,0.0005,4096,4096,4095,0.4.42
6,4,20,1,max,Split Cycle,0.016663864680075694,0.0002806359767525615,0.004516136929674878,57344,0.0005,4096,4096,4095,0.4.42
7,4,20,1,max,Strict Nanson,0.0209257579044398,0.000375774584590837,0.008097206532871293,57344,0.0005,4096,4096,4095,0.4.42
8,4,21,1,max,Plurality,0.032679568091011704,0.00034366600874663516,0.009191388574666191,77824,0.0005,4096,4096,4095,0.4.42
9,4,21,1,max,Borda,0.04382891722020447,0.0004325950446845064,0.014563677359810678,77824,0.0005,4096,4096,4095,0.4.42
10,4,21,1,max,Instant Runoff,0.034821583160285295,0.0004980906635556282,0.01930744341874584,77824,0.0005,4096,4096,4095,0.4.42
11,4,21,1,max,Instant Runoff PUT,0.029855558168537046,0.00038383416979327433,0.011465559077697128,77824,0.0005,4096,4096,4095,0.4.42
12,4,21,1,max,Minimax,0.01482315136764688,0.00022542374049481942,0.003954642889024878,77824,0.0005,4096,4096,4095,0.4.42
13,4,21,1,max,Stable Voting,0.020376021715238894,0.00034459989839761255,0.009241410429174613,77824,0.0005,4096,4096,4095,0.4.42
14,4,21,1,max,Split Cycle,0.01460273435736598,0.00022265767771568624,0.003858187402632011,77824,0.0005,4096,4096,4095,0.4.42
15,4,21,1,max,Strict Nanson,0.020427143144371496,0.0003824289966768969,0.01138176453200787,77824,0.0005,4096,4096,4095,0.4.42
