,num_cands,num_voters,generation,decision_rule,vm,mean,est_std_error,variance,num_trials,max_std_error,initial_trials,step_trials,min_num_trials,pref_voting_version
0,3,20,1,max,Plurality,0.018880686492906334,0.0008647983121726354,0.006125853304953809,8192,0.001,4096,4096,4095,0.5.9
1,3,20,1,satisficing,Plurality,0.018880686492906334,0.0008647983121726354,0.006125853304953809,8192,0.001,4096,4096,4095,0.5.9
2,3,20,1,max,Borda,0.026842260561494823,0.0009885348541476342,0.008004254684069633,8192,0.001,4096,4096,4095,0.5.9
3,3,20,1,satisficing,Borda,0.026842260561494823,0.0009885348541476342,0.008004254684069633,8192,0.001,4096,4096,4095,0.5.9
4,3,20,1,max,Instant Runoff,0.012426727919357061,0.0008770808564929088,0.006301097358916506,8192,0.001,4096,4096,4095,0.5.9
5,3,20,1,satisficing,Instant Runoff,0.011924322360797216,0.0008353875085423935,0.005716271922710216,8192,0.001,4096,4096,4095,0.5.9
6,3,20,1,max,Instant Runoff PUT,0.012896494643559608,0.0007904590668790991,0.0051179459687455825,8192,0.001,4096,4096,4095,0.5.9
7,3,20,1,satisficing,Instant Runoff PUT,0.012408820315690038,0.0007462000242776515,0.0045608673748160486,8192,0.001,4096,4096,4095,0.5.9
8,3,20,1,max,Minimax,0.008374185284837573,0.0005493358405871826,0.002471796970387955,8192,0.001,4096,4096,4095,0.5.9
9,3,20,1,satisficing,Minimax,0.008285134986874134,0.000543169176920423,0.0024166132942097522,8192,0.001,4096,4096,4095,0.5.9
10,3,20,1,max,Stable Voting,0.01689667403126071,0.00078838911394177,0.005091176622296654,8192,0.001,4096,4096,4095,0.5.9
11,3,20,1,satisficing,Stable Voting,0.016807623733297278,0.0007842229225733334,0.00503751080644297,8192,0.001,4096,4096,4095,0.5.9
12,3,20,1,max,Split Cycle,0.008374185284837573,0.0005493358405871826,0.002471796970387955,8192,0.001,4096,4096,4095,0.5.9
13,3,20,1,satisficing,Split Cycle,0.008285134986874134,0.000543169176920423,0.0024166132942097522,8192,0.001,4096,4096,4095,0.5.9
14,3,20,1,max,Strict Nanson,0.009589002657009913,0.0006585758420075947,0.0035526180460862173,8192,0.001,4096,4096,4095,0.5.9
15,3,20,1,satisficing,Strict Nanson,0.009472419112374559,0.0006474368429927113,0.003433458048256844,8192,0.001,4096,4096,4095,0.5.9
16,3,21,1,max,Plurality,0.017501383947747556,0.0006391598873610333,0.005019551118118889,12288,0.001,4096,4096,4095,0.5.9
17,3,21,1,satisficing,Plurality,0.017501383947747556,0.0006391598873610333,0.005019551118118889,12288,0.001,4096,4096,4095,0.5.9
18,3,21,1,max,Borda,0.0256776524888807,0.0007882761461728672,0.007634887245615188,12288,0.001,4096,4096,4095,0.5.9
19,3,21,1,satisficing,Borda,0.0256776524888807,0.0007882761461728672,0.007634887245615188,12288,0.001,4096,4096,4095,0.5.9
20,3,21,1,max,Instant Runoff,0.01682612364418587,0.000830240728297475,0.008469425007494225,12288,0.001,4096,4096,4095,0.5.9
21,3,21,1,satisficing,Instant Runoff,0.01682612364418587,0.000830240728297475,0.008469425007494225,12288,0.001,4096,4096,4095,0.5.9
22,3,21,1,max,Instant Runoff PUT,0.016162107227334754,0.0007501013189105596,0.006913304984313533,12288,0.001,4096,4096,4095,0.5.9
23,3,21,1,satisficing,Instant Runoff PUT,0.015883907746214787,0.0007332686372703916,0.006606509723546583,12288,0.001,4096,4096,4095,0.5.9
24,3,21,1,max,Minimax,0.008324414328950388,0.0004532553591740066,0.0025242464481574204,12288,0.001,4096,4096,4095,0.5.9
25,3,21,1,satisficing,Minimax,0.007952005781629625,0.00043339953344582506,0.00230793055674734,12288,0.001,4096,4096,4095,0.5.9
26,3,21,1,max,Stable Voting,0.008324414328950388,0.0004532553591740066,0.0025242464481574204,12288,0.001,4096,4096,4095,0.5.9
27,3,21,1,satisficing,Stable Voting,0.007952005781629625,0.00043339953344582506,0.00230793055674734,12288,0.001,4096,4096,4095,0.5.9
28,3,21,1,max,Split Cycle,0.008324414328950388,0.0004532553591740066,0.0025242464481574204,12288,0.001,4096,4096,4095,0.5.9
29,3,21,1,satisficing,Split Cycle,0.007952005781629625,0.00043339953344582506,0.00230793055674734,12288,0.001,4096,4096,4095,0.5.9
30,3,21,1,max,Strict Nanson,0.01201138473519836,0.0007499096985681777,0.0069097732996532815,12288,0.001,4096,4096,4095,0.5.9
31,3,21,1,satisficing,Strict Nanson,0.01131956187885838,0.000703184605788284,0.006075535563089152,12288,0.001,4096,4096,4095,0.5.9
