,num_cands,num_voters,generation,decision_rule,vm,mean,est_std_error,variance,num_trials,max_std_error,initial_trials,step_trials,min_num_trials,pref_voting_version
40,6,10,1,max,Plurality,0.0679574661855402,0.0007458855946376962,0.015950976677978103,28672,0.001,4096,4096,4095,0.5.2
41,6,10,1,satisficing,Plurality,0.05992358353821515,0.0006602986275756651,0.012500391932447636,28672,0.001,4096,4096,4095,0.5.2
42,6,10,1,max,Borda,0.08611878439600948,0.0009728378913636041,0.02713462326112558,28672,0.001,4096,4096,4095,0.5.2
43,6,10,1,satisficing,Borda,0.06303841030849706,0.0006996142705928736,0.0140333113189127,28672,0.001,4096,4096,4095,0.5.2
44,6,10,1,max,Instant Runoff,0.06163422991862992,0.0008980796277284225,0.023124509545647105,28672,0.001,4096,4096,4095,0.5.2
45,6,10,1,satisficing,Instant Runoff,0.053826178336374216,0.0007650121497198099,0.016779518946495795,28672,0.001,4096,4096,4095,0.5.2
46,6,10,1,max,Instant Runoff PUT,0.04346811524841869,0.0005574082097579997,0.008908191869714378,28672,0.001,4096,4096,4095,0.5.2
47,6,10,1,satisficing,Instant Runoff PUT,0.03410701470935209,0.00043363665736477074,0.005391316360753405,28672,0.001,4096,4096,4095,0.5.2
48,6,10,1,max,Minimax,0.03360153100440546,0.0005213277306585929,0.007792279003549565,28672,0.001,4096,4096,4095,0.5.2
49,6,10,1,satisficing,Minimax,0.028452916734348323,0.00043884755073639873,0.005521666830985712,28672,0.001,4096,4096,4095,0.5.2
50,6,10,1,max,Stable Voting,0.0608001762458626,0.0009357544360091101,0.025105370206887075,28672,0.001,4096,4096,4095,0.5.2
51,6,10,1,satisficing,Stable Voting,0.04964971642629247,0.000764402506627664,0.016752786189807405,28672,0.001,4096,4096,4095,0.5.2
52,6,10,1,max,Split Cycle,0.03837493110695037,0.0005532505672941068,0.008775797159546779,28672,0.001,4096,4096,4095,0.5.2
53,6,10,1,satisficing,Split Cycle,0.03073915527423804,0.00044560046728743817,0.005692907350505723,28672,0.001,4096,4096,4095,0.5.2
54,6,10,1,max,Strict Nanson,0.046698265175558876,0.0007007940437555648,0.014080680517144903,28672,0.001,4096,4096,4095,0.5.2
55,6,10,1,satisficing,Strict Nanson,0.0378496462150451,0.0005482157194082776,0.008616795958906642,28672,0.001,4096,4096,4095,0.5.2
56,6,10,1,max,Blacks,0.08362189071453709,0.0009728522198963072,0.0271354225766199,28672,0.001,4096,4096,4095,0.5.2
57,6,10,1,satisficing,Blacks,0.06114723516992504,0.0007030031373872854,0.014169592711837601,28672,0.001,4096,4096,4095,0.5.2
58,6,10,1,max,Copeland-Global-Borda,0.06896520196359521,0.000985841611321441,0.027864877064193168,28672,0.001,4096,4096,4095,0.5.2
59,6,10,1,satisficing,Copeland-Global-Borda,0.05584826461187376,0.0007969824575077502,0.01821127552831549,28672,0.001,4096,4096,4095,0.5.2
60,6,11,1,max,Plurality,0.06311861927477433,0.0006382124975342926,0.015014859923026274,36864,0.001,4096,4096,4095,0.5.2
61,6,11,1,satisficing,Plurality,0.05427228452605985,0.0005524762355313958,0.011251693151853573,36864,0.001,4096,4096,4095,0.5.2
62,6,11,1,max,Borda,0.08121474356439051,0.0008396487731303021,0.025988785923587165,36864,0.001,4096,4096,4095,0.5.2
63,6,11,1,satisficing,Borda,0.05975382268701616,0.0006037462906191994,0.013436916774217593,36864,0.001,4096,4096,4095,0.5.2
64,6,11,1,max,Instant Runoff,0.06011515108691371,0.0009543745304382377,0.03357595372894481,36864,0.001,4096,4096,4095,0.5.2
65,6,11,1,satisficing,Instant Runoff,0.05569912712691342,0.0008831470906785342,0.02875125201625945,36864,0.001,4096,4096,4095,0.5.2
66,6,11,1,max,Instant Runoff PUT,0.05387606229766961,0.000697519595065576,0.017935087562302904,36864,0.001,4096,4096,4095,0.5.2
67,6,11,1,satisficing,Instant Runoff PUT,0.044697046649633504,0.0005727710298552122,0.012093521016319941,36864,0.001,4096,4096,4095,0.5.2
68,6,11,1,max,Minimax,0.030386068736990655,0.00042326952367127127,0.00660426779646484,36864,0.001,4096,4096,4095,0.5.2
