,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004591650770082,1,-0.0014387887,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.000474910749393,1,0.011128322,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004919015318851,1,0.015455805,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0003932103576074,1,-0.001435621,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004891836286629,1,0.023285996,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004823788584312,1,-0.0021167381,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004964830477063,1,0.014469327,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004587400129446,1,-0.0014218737,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0003963594055916,1,-0.0008892126,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004715938720257,1,0.023124188,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004969853583599,1,0.02364398,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004591644472872,1,-0.0018971381,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004587400129446,1,-0.0014218737,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0003917335368335,1,-0.0009796007,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004747019986573,1,-0.0006120368,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0003852247492785,1,-0.0013637965,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004915611808747,1,0.012058556,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004865444136051,1,0.010695865,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004572507996612,1,-0.0015061403,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004505253584577,1,-0.00121624,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004977973223821,1,0.0064508147,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004460679819907,1,0.0010665397,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004583041737618,1,0.005239929,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0003932103576074,1,-0.001435621,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004505253584577,1,-0.00121624,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0003917335368335,1,-0.0009796007,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.000298866949969,1,-0.0010212988,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004747019986573,1,-0.0006120368,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004315777015557,1,-0.0015334263,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0003852247492785,1,-0.0013637965,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0004572507996612,1,-0.0015061403,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004952545948116,1,0.022561211,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004608020550554,1,-0.0027910639,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004708514736429,1,-0.004839624,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004409164534621,1,-0.0015775178,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004505391545369,1,0.0072738957,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004436389718812,1,-0.0016217738,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004985634706925,1,0.02268311,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004925668993816,1,0.022134092,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.0004536550928774,1,-0.0010408718,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004794780025325,1,-0.0011601239,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.000478311708992,1,0.021293918,3,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.0004840468134311,1,0.009693752,3,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004914821988658,1,0.016391115,3,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004986779417524,1,0.004815273,3,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004797927613551,1,0.007867312,3,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004824354878,1,0.0101990625,3,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004907346575394,1,0.0073079346,3,10,"(0, 0)"
22,Blacks,"(64,)",optimize,0.0004985390487976,1,0.008501659,3,10,"(0, 0)"
18,Blacks,"(512,)",optimize,0.0004898754163923,1,0.011121351,3,10,"(0, 0)"
214,Strict Nanson,"(16,)",optimize,0.0004733368597547,1,-0.0011254644,3,10,"(0, 0)"
16,Blacks,"(4,)",optimize,0.0004996356071381,1,0.0042621824,3,10,"(0, 0)"
200,Stable Voting,"(512,)",optimize,0.0004923226719062,1,0.00851554,3,10,"(0, 0)"
14,Blacks,"(32,)",optimize,0.0004846014532691,1,0.008432286,3,10,"(0, 0)"
222,Strict Nanson,"(32,)",optimize,0.0003820915324469,1,-0.0004694091,3,10,"(0, 0)"
10,Blacks,"(256,)",optimize,0.0004828295791532,1,0.008334649,3,10,"(0, 0)"
224,Strict Nanson,"(4,)",optimize,0.0004002289582938,1,-0.00087182305,3,10,"(0, 0)"
226,Strict Nanson,"(512,)",optimize,0.0004501512086423,1,-0.0006330366,3,10,"(0, 0)"
6,Blacks,"(16,)",optimize,0.0004951220074012,1,0.009766172,3,10,"(0, 0)"
3,Blacks,"(128,)",optimize,0.0004888577463959,1,0.0093270065,3,10,"(0, 0)"
230,Strict Nanson,"(64,)",optimize,0.0003880152050502,1,-0.0010030175,3,10,"(0, 0)"
218,Strict Nanson,"(256,)",optimize,0.0003952382127465,1,-0.00094255415,3,10,"(0, 0)"
29,Borda,"(128,)",optimize,0.0004931739101548,1,0.011672862,3,10,"(0, 0)"
211,Strict Nanson,"(128,)",optimize,0.0003798880729738,1,-0.0010175775,3,10,"(0, 0)"
114,Minimax,"(256,)",optimize,0.0003963594055916,1,-0.0008892126,3,10,"(0, 0)"
40,Borda,"(32,)",optimize,0.0004961427857324,1,0.012748458,3,10,"(0, 0)"
32,Borda,"(16,)",optimize,0.0004823785340712,1,0.011931366,3,10,"(0, 0)"
188,Stable Voting,"(16,)",optimize,0.0004759886839544,1,0.0076823994,3,10,"(0, 0)"
192,Stable Voting,"(256,)",optimize,0.0004801326060298,1,0.008152222,3,10,"(0, 0)"
198,Stable Voting,"(4,)",optimize,0.0004897126913128,1,-0.0010489096,3,10,"(0, 0)"
36,Borda,"(256,)",optimize,0.000484387420299,1,0.008877925,3,10,"(0, 0)"
196,Stable Voting,"(32,)",optimize,0.0004999776715566,1,0.0077031082,3,10,"(0, 0)"
119,Minimax,"(4, 4)",optimize,0.0004831898901983,1,-0.0020956146,3,10,"(2, 8)"
41,Borda,"(4, 4)",optimize,0.0004963227737941,1,0.007723112,3,10,"(2, 8)"
223,Strict Nanson,"(4, 4)",optimize,0.0004346842648581,1,-0.0019904026,3,10,"(2, 8)"
93,Instant Runoff PUT,"(4, 4)",optimize,0.0004381846904418,1,-0.0019413058,3,10,"(2, 8)"
197,Stable Voting,"(4, 4)",optimize,0.0004924024915784,1,0.00093330216,3,10,"(2, 8)"
145,Plurality,"(4, 4)",optimize,0.0004780551513087,1,0.012104326,3,10,"(2, 8)"
15,Blacks,"(4, 4)",optimize,0.0004866435287363,1,-0.0041539688,3,10,"(2, 8)"
67,Instant Runoff,"(4, 4)",optimize,0.0004610890238432,1,0.0017909096,3,10,"(2, 8)"
171,Split Cycle,"(4, 4)",optimize,0.0004831898901983,1,-0.0020956146,3,10,"(2, 8)"
179,Split Cycle,"(8, 8)",optimize,0.0004259544102107,1,-0.0013467707,3,10,"(2, 16)"
231,Strict Nanson,"(8, 8)",optimize,0.0004690752557237,1,-0.0021697872,3,10,"(2, 16)"
101,Instant Runoff PUT,"(8, 8)",optimize,0.0004201697263062,1,-0.00084244274,3,10,"(2, 16)"
75,Instant Runoff,"(8, 8)",optimize,0.0004589842792217,1,-0.00025986097,3,10,"(2, 16)"
127,Minimax,"(8, 8)",optimize,0.0004259544102107,1,-0.0013467707,3,10,"(2, 16)"
23,Blacks,"(8, 8)",optimize,0.0004979670887597,1,0.009837499,3,10,"(2, 16)"
49,Borda,"(8, 8)",optimize,0.0004885198738278,1,0.011889286,3,10,"(2, 16)"
205,Stable Voting,"(8, 8)",optimize,0.0004974956344121,1,0.006408288,3,10,"(2, 16)"
153,Plurality,"(8, 8)",optimize,0.0004439284385396,1,0.0077992496,3,10,"(2, 16)"
109,Minimax,"(16, 8)",optimize,0.0004413322406507,1,-0.0016830205,3,10,"(2, 24)"
161,Split Cycle,"(16, 8)",optimize,0.0004413322406507,1,-0.0016830205,3,10,"(2, 24)"
5,Blacks,"(16, 8)",optimize,0.0004904528240092,1,0.010062593,3,10,"(2, 24)"
213,Strict Nanson,"(16, 8)",optimize,0.000430388876949,1,-0.0015160055,3,10,"(2, 24)"
83,Instant Runoff PUT,"(16, 8)",optimize,0.0003919550558996,1,-0.0011782749,3,10,"(2, 24)"
187,Stable Voting,"(16, 8)",optimize,0.0004853758052125,1,0.0070547415,3,10,"(2, 24)"
57,Instant Runoff,"(16, 8)",optimize,0.0004873053213887,1,4.663501e-06,3,10,"(2, 24)"
31,Borda,"(16, 8)",optimize,0.0004825614953056,1,0.011657093,3,10,"(2, 24)"
135,Plurality,"(16, 8)",optimize,0.0004916766457864,1,0.017356552,3,10,"(2, 24)"
30,Borda,"(16, 16)",optimize,0.0004962906597421,1,0.012586271,3,10,"(2, 32)"
160,Split Cycle,"(16, 16)",optimize,0.0004506782626353,1,-0.001780826,3,10,"(2, 32)"
4,Blacks,"(16, 16)",optimize,0.000491212065936,1,0.010370525,3,10,"(2, 32)"
82,Instant Runoff PUT,"(16, 16)",optimize,0.0003247556627482,1,-0.00079612853,3,10,"(2, 32)"
186,Stable Voting,"(16, 16)",optimize,0.0004992632432197,1,0.0067585567,3,10,"(2, 32)"
56,Instant Runoff,"(16, 16)",optimize,0.000465642796559,1,0.000110782545,3,10,"(2, 32)"
108,Minimax,"(16, 16)",optimize,0.0004506782626353,1,-0.001780826,3,10,"(2, 32)"
212,Strict Nanson,"(16, 16)",optimize,0.0004090381527875,1,-0.002202457,3,10,"(2, 32)"
134,Plurality,"(16, 16)",optimize,0.0004590025813049,1,0.0124173835,3,10,"(2, 32)"
142,Plurality,"(32, 32)",optimize,0.0004677475680693,1,0.023277115,3,10,"(2, 64)"
220,Strict Nanson,"(32, 32)",optimize,0.0003932439412849,1,-0.0008078179,3,10,"(2, 64)"
168,Split Cycle,"(32, 32)",optimize,0.0004714545277577,1,-0.0012144456,3,10,"(2, 64)"
194,Stable Voting,"(32, 32)",optimize,0.000478678876203,1,0.0080401525,3,10,"(2, 64)"
116,Minimax,"(32, 32)",optimize,0.0004714545277577,1,-0.0012144456,3,10,"(2, 64)"
90,Instant Runoff PUT,"(32, 32)",optimize,0.0004032079374166,1,-0.0011157007,3,10,"(2, 64)"
64,Instant Runoff,"(32, 32)",optimize,0.0004929045338013,1,0.023122884,3,10,"(2, 64)"
38,Borda,"(32, 32)",optimize,0.0004885614038853,1,0.01281245,3,10,"(2, 64)"
12,Blacks,"(32, 32)",optimize,0.0004880175085709,1,0.009954993,3,10,"(2, 64)"
149,Plurality,"(64, 32)",optimize,0.0004965970244381,1,0.022714674,3,10,"(2, 96)"
227,Strict Nanson,"(64, 32)",optimize,0.000429745881195,1,-0.0007302736,3,10,"(2, 96)"
175,Split Cycle,"(64, 32)",optimize,0.0003887860416809,1,-0.0007441497,3,10,"(2, 96)"
45,Borda,"(64, 32)",optimize,0.0004915939382802,1,0.013214984,3,10,"(2, 96)"
97,Instant Runoff PUT,"(64, 32)",optimize,0.0004640161380427,1,-0.0013297279,3,10,"(2, 96)"
123,Minimax,"(64, 32)",optimize,0.0003887860416809,1,-0.0007441497,3,10,"(2, 96)"
71,Instant Runoff,"(64, 32)",optimize,0.0004991368340317,1,0.020518703,3,10,"(2, 96)"
201,Stable Voting,"(64, 32)",optimize,0.0004877150735928,1,0.0075736865,3,10,"(2, 96)"
19,Blacks,"(64, 32)",optimize,0.0004884646209139,1,0.01110325,3,10,"(2, 96)"
124,Minimax,"(64, 64)",optimize,0.0004843218438025,1,-0.0018478232,3,10,"(2, 128)"
72,Instant Runoff,"(64, 64)",optimize,0.0004839577303126,1,0.024776021,3,10,"(2, 128)"
150,Plurality,"(64, 64)",optimize,0.0004841851139819,1,0.02066894,3,10,"(2, 128)"
20,Blacks,"(64, 64)",optimize,0.0004942915374455,1,0.005638469,3,10,"(2, 128)"
176,Split Cycle,"(64, 64)",optimize,0.0004843218438025,1,-0.0018478232,3,10,"(2, 128)"
46,Borda,"(64, 64)",optimize,0.0004868699094946,1,0.012711634,3,10,"(2, 128)"
228,Strict Nanson,"(64, 64)",optimize,0.0004517690815106,1,-0.0012384368,3,10,"(2, 128)"
98,Instant Runoff PUT,"(64, 64)",optimize,0.0004962110715618,1,-0.0008270902,3,10,"(2, 128)"
202,Stable Voting,"(64, 64)",optimize,0.0004904506934454,1,0.0074484395,3,10,"(2, 128)"
26,Borda,"(128, 128)",optimize,0.0004850441371855,1,0.011500077,3,10,"(2, 256)"
104,Minimax,"(128, 128)",optimize,0.0004658815836081,1,-0.0009466652,3,10,"(2, 256)"
78,Instant Runoff PUT,"(128, 128)",optimize,0.0004810651104869,1,-0.0020734216,3,10,"(2, 256)"
208,Strict Nanson,"(128, 128)",optimize,0.0004209967068153,1,-0.0011985383,3,10,"(2, 256)"
0,Blacks,"(128, 128)",optimize,0.0004893934280345,1,0.0106733255,3,10,"(2, 256)"
182,Stable Voting,"(128, 128)",optimize,0.0004971580724456,1,0.0077734427,3,10,"(2, 256)"
52,Instant Runoff,"(128, 128)",optimize,0.0004989975102882,1,0.024295965,3,10,"(2, 256)"
156,Split Cycle,"(128, 128)",optimize,0.0004658815836081,1,-0.0009466652,3,10,"(2, 256)"
130,Plurality,"(128, 128)",optimize,0.0004687943612776,1,0.023172503,3,10,"(2, 256)"
7,Blacks,"(256, 128)",optimize,0.0004995129882343,1,0.009186874,3,10,"(2, 384)"
111,Minimax,"(256, 128)",optimize,0.0004225408649653,1,-0.0016159489,3,10,"(2, 384)"
163,Split Cycle,"(256, 128)",optimize,0.0004225408649653,1,-0.0016159489,3,10,"(2, 384)"
215,Strict Nanson,"(256, 128)",optimize,0.000435240074459,1,-0.0017985359,3,10,"(2, 384)"
33,Borda,"(256, 128)",optimize,0.0004917703580744,1,0.010559495,3,10,"(2, 384)"
189,Stable Voting,"(256, 128)",optimize,0.0004988931697606,1,0.0072282017,3,10,"(2, 384)"
85,Instant Runoff PUT,"(256, 128)",optimize,0.0004294622705643,1,-0.0016953538,3,10,"(2, 384)"
59,Instant Runoff,"(256, 128)",optimize,0.0004991218036047,1,0.02409982,3,10,"(2, 384)"
137,Plurality,"(256, 128)",optimize,0.0004930745392635,1,0.022155652,3,10,"(2, 384)"
8,Blacks,"(256, 256)",optimize,0.0004946661747584,1,0.010002621,3,10,"(2, 512)"
190,Stable Voting,"(256, 256)",optimize,0.0004893539500972,1,0.008077184,3,10,"(2, 512)"
112,Minimax,"(256, 256)",optimize,0.0004581373978378,1,-0.00059357326,3,10,"(2, 512)"
34,Borda,"(256, 256)",optimize,0.0004814806290504,1,0.012228557,3,10,"(2, 512)"
60,Instant Runoff,"(256, 256)",optimize,0.0004827839538204,1,0.024036804,3,10,"(2, 512)"
164,Split Cycle,"(256, 256)",optimize,0.0004581373978378,1,-0.00059357326,3,10,"(2, 512)"
216,Strict Nanson,"(256, 256)",optimize,0.0004184813597908,1,-0.0014119472,3,10,"(2, 512)"
86,Instant Runoff PUT,"(256, 256)",optimize,0.0004306622590592,1,-0.0010025176,3,10,"(2, 512)"
138,Plurality,"(256, 256)",optimize,0.0004975219767339,1,0.02290343,3,10,"(2, 512)"
232,Strict Nanson,"(8, 8, 8)",optimize,0.0004276908559323,1,-0.0016537909,3,10,"(3, 24)"
76,Instant Runoff,"(8, 8, 8)",optimize,0.0004768560810617,1,0.00094150926,3,10,"(3, 24)"
24,Blacks,"(8, 8, 8)",optimize,0.0004897515285559,1,0.010941572,3,10,"(3, 24)"
206,Stable Voting,"(8, 8, 8)",optimize,0.0004893369435433,1,0.007466969,3,10,"(3, 24)"
50,Borda,"(8, 8, 8)",optimize,0.0004813115887379,1,0.01265044,3,10,"(3, 24)"
128,Minimax,"(8, 8, 8)",optimize,0.0004988414827568,1,-0.0017954346,3,10,"(3, 24)"
180,Split Cycle,"(8, 8, 8)",optimize,0.0004988414827568,1,-0.0017954346,3,10,"(3, 24)"
154,Plurality,"(8, 8, 8)",optimize,0.0004905935588112,1,0.014150511,3,10,"(3, 24)"
102,Instant Runoff PUT,"(8, 8, 8)",optimize,0.0003997325695423,1,-0.0013449731,3,10,"(3, 24)"
219,Strict Nanson,"(32, 16, 8)",optimize,0.0003805116029485,1,-0.0011051882,3,10,"(3, 56)"
37,Borda,"(32, 16, 8)",optimize,0.0004865445728048,1,0.012194884,3,10,"(3, 56)"
193,Stable Voting,"(32, 16, 8)",optimize,0.0004824981678169,1,0.0072488086,3,10,"(3, 56)"
89,Instant Runoff PUT,"(32, 16, 8)",optimize,0.0004246854241935,1,-0.0010030589,3,10,"(3, 56)"
115,Minimax,"(32, 16, 8)",optimize,0.0004853354341821,1,-0.0009696244,3,10,"(3, 56)"
11,Blacks,"(32, 16, 8)",optimize,0.0004981040390197,1,0.009932202,3,10,"(3, 56)"
141,Plurality,"(32, 16, 8)",optimize,0.0004953029968794,1,0.02250874,3,10,"(3, 56)"
167,Split Cycle,"(32, 16, 8)",optimize,0.0004853354341821,1,-0.0009696244,3,10,"(3, 56)"
63,Instant Runoff,"(32, 16, 8)",optimize,0.0004930751806164,1,0.022552077,3,10,"(3, 56)"
195,Stable Voting,"(32, 32, 32)",optimize,0.0004811980304947,1,0.008367622,3,10,"(3, 96)"
13,Blacks,"(32, 32, 32)",optimize,0.0004950624473295,1,0.00921079,3,10,"(3, 96)"
65,Instant Runoff,"(32, 32, 32)",optimize,0.0004940746215562,1,0.022008143,3,10,"(3, 96)"
