,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
10,Blacks,"(256,)",optimize,0.0004916465645029,1,-0.001982264,6,10,"(0, 0)"
224,Strict Nanson,"(4,)",optimize,0.0004965124335932,1,-0.030862518,6,10,"(0, 0)"
226,Strict Nanson,"(512,)",optimize,0.0004722880116567,1,-0.010463418,6,10,"(0, 0)"
6,Blacks,"(16,)",optimize,0.0004948749518806,1,-0.017442323,6,10,"(0, 0)"
3,Blacks,"(128,)",optimize,0.0004940632232202,1,-0.0013058542,6,10,"(0, 0)"
230,Strict Nanson,"(64,)",optimize,0.000483003619361,1,-0.009524771,6,10,"(0, 0)"
218,Strict Nanson,"(256,)",optimize,0.0004947653381848,1,-0.010111969,6,10,"(0, 0)"
29,Borda,"(128,)",optimize,0.0004912582868488,1,-0.0007209788,6,10,"(0, 0)"
211,Strict Nanson,"(128,)",optimize,0.0004722781690689,1,-0.009624435,6,10,"(0, 0)"
114,Minimax,"(256,)",optimize,0.0004926354224994,1,-0.008860422,6,10,"(0, 0)"
40,Borda,"(32,)",optimize,0.00049525722344,1,-0.008116372,6,10,"(0, 0)"
32,Borda,"(16,)",optimize,0.0004993382250043,1,-0.015024956,6,10,"(0, 0)"
188,Stable Voting,"(16,)",optimize,0.0004981252561681,1,-0.011270272,6,10,"(0, 0)"
192,Stable Voting,"(256,)",optimize,0.0004945605825008,1,-0.010383942,6,10,"(0, 0)"
198,Stable Voting,"(4,)",optimize,0.0004969651494682,1,-0.051501606,6,10,"(0, 0)"
36,Borda,"(256,)",optimize,0.0004934797996764,1,-0.003673722,6,10,"(0, 0)"
196,Stable Voting,"(32,)",optimize,0.0004887979693614,1,-0.010488338,6,10,"(0, 0)"
119,Minimax,"(4, 4)",optimize,0.0004972389926511,1,-0.06722739,6,10,"(2, 8)"
41,Borda,"(4, 4)",optimize,0.0004980578801044,1,-0.08237842,6,10,"(2, 8)"
223,Strict Nanson,"(4, 4)",optimize,0.0004867567125749,1,-0.033717163,6,10,"(2, 8)"
93,Instant Runoff PUT,"(4, 4)",optimize,0.0004878452469334,1,-0.055312525,6,10,"(2, 8)"
197,Stable Voting,"(4, 4)",optimize,0.0004969055731408,1,-0.052244168,6,10,"(2, 8)"
145,Plurality,"(4, 4)",optimize,0.0004932652683998,1,0.0008337217,6,10,"(2, 8)"
15,Blacks,"(4, 4)",optimize,0.0004976666543845,1,-0.08271859,6,10,"(2, 8)"
67,Instant Runoff,"(4, 4)",optimize,0.0004973947137787,1,-0.0569135,6,10,"(2, 8)"
171,Split Cycle,"(4, 4)",optimize,0.0004947857645632,1,-0.030349003,6,10,"(2, 8)"
179,Split Cycle,"(8, 8)",optimize,0.000481160637882,1,-0.012519878,6,10,"(2, 16)"
231,Strict Nanson,"(8, 8)",optimize,0.0004830080727628,1,-0.013787913,6,10,"(2, 16)"
101,Instant Runoff PUT,"(8, 8)",optimize,0.0004749932927163,1,-0.010472578,6,10,"(2, 16)"
75,Instant Runoff,"(8, 8)",optimize,0.0004758829096858,1,-0.008709668,6,10,"(2, 16)"
127,Minimax,"(8, 8)",optimize,0.0004853682734112,1,-0.014683936,6,10,"(2, 16)"
23,Blacks,"(8, 8)",optimize,0.0004980068709399,1,-0.022885546,6,10,"(2, 16)"
49,Borda,"(8, 8)",optimize,0.0004980297554446,1,-0.034705896,6,10,"(2, 16)"
205,Stable Voting,"(8, 8)",optimize,0.0004927306625416,1,-0.023229936,6,10,"(2, 16)"
153,Plurality,"(8, 8)",optimize,0.0004990417642545,1,0.028242374,6,10,"(2, 16)"
109,Minimax,"(16, 8)",optimize,0.0004865185133141,1,-0.012059223,6,10,"(2, 24)"
161,Split Cycle,"(16, 8)",optimize,0.0004859339465042,1,-0.016231313,6,10,"(2, 24)"
5,Blacks,"(16, 8)",optimize,0.0004991106224374,1,-0.025740147,6,10,"(2, 24)"
213,Strict Nanson,"(16, 8)",optimize,0.0004857705964665,1,-0.011830137,6,10,"(2, 24)"
83,Instant Runoff PUT,"(16, 8)",optimize,0.0004818911805607,1,-0.008779318,6,10,"(2, 24)"
187,Stable Voting,"(16, 8)",optimize,0.000496821451016,1,-0.022301944,6,10,"(2, 24)"
57,Instant Runoff,"(16, 8)",optimize,0.0004740064481602,1,-0.0064149373,6,10,"(2, 24)"
31,Borda,"(16, 8)",optimize,0.0004924189723225,1,-0.01807082,6,10,"(2, 24)"
135,Plurality,"(16, 8)",optimize,0.0004772943454658,1,0.02957172,6,10,"(2, 24)"
30,Borda,"(16, 16)",optimize,0.0004920126955424,1,-0.004382289,6,10,"(2, 32)"
160,Split Cycle,"(16, 16)",optimize,0.0004818943293988,1,-0.013271572,6,10,"(2, 32)"
4,Blacks,"(16, 16)",optimize,0.0004974293894036,1,-0.0072966088,6,10,"(2, 32)"
82,Instant Runoff PUT,"(16, 16)",optimize,0.0004650029561634,1,-0.010156733,6,10,"(2, 32)"
186,Stable Voting,"(16, 16)",optimize,0.0004943934775997,1,-0.013578792,6,10,"(2, 32)"
56,Instant Runoff,"(16, 16)",optimize,0.0004774035001272,1,-0.007457099,6,10,"(2, 32)"
108,Minimax,"(16, 16)",optimize,0.0004920655069562,1,-0.009966523,6,10,"(2, 32)"
212,Strict Nanson,"(16, 16)",optimize,0.0004725498872122,1,-0.00921179,6,10,"(2, 32)"
134,Plurality,"(16, 16)",optimize,0.0004912848395112,1,0.029839873,6,10,"(2, 32)"
142,Plurality,"(32, 32)",optimize,0.0004961800107199,1,0.030121267,6,10,"(2, 64)"
220,Strict Nanson,"(32, 32)",optimize,0.0004820709154463,1,-0.0097495895,6,10,"(2, 64)"
168,Split Cycle,"(32, 32)",optimize,0.0004822481903804,1,-0.0074654333,6,10,"(2, 64)"
194,Stable Voting,"(32, 32)",optimize,0.0004953100095602,1,-0.008429612,6,10,"(2, 64)"
116,Minimax,"(32, 32)",optimize,0.0004732243790279,1,-0.009402766,6,10,"(2, 64)"
90,Instant Runoff PUT,"(32, 32)",optimize,0.0004709539806976,1,-0.008857422,6,10,"(2, 64)"
64,Instant Runoff,"(32, 32)",optimize,0.000498066703659,1,-0.0076222178,6,10,"(2, 64)"
38,Borda,"(32, 32)",optimize,0.0004992977071009,1,-0.00035660597,6,10,"(2, 64)"
12,Blacks,"(32, 32)",optimize,0.0004990851910051,1,-0.004747404,6,10,"(2, 64)"
149,Plurality,"(64, 32)",optimize,0.0004970740029353,1,0.030779932,6,10,"(2, 96)"
227,Strict Nanson,"(64, 32)",optimize,0.0004680265926597,1,-0.00823856,6,10,"(2, 96)"
175,Split Cycle,"(64, 32)",optimize,0.0004641383172547,1,-0.009411894,6,10,"(2, 96)"
45,Borda,"(64, 32)",optimize,0.0004923480991071,1,-0.0046042786,6,10,"(2, 96)"
97,Instant Runoff PUT,"(64, 32)",optimize,0.0004899327344372,1,-0.008422129,6,10,"(2, 96)"
123,Minimax,"(64, 32)",optimize,0.0004999978273059,1,-0.008603163,6,10,"(2, 96)"
71,Instant Runoff,"(64, 32)",optimize,0.0004980492875821,1,-0.0063162623,6,10,"(2, 96)"
201,Stable Voting,"(64, 32)",optimize,0.0004902748201135,1,-0.011324021,6,10,"(2, 96)"
19,Blacks,"(64, 32)",optimize,0.0004974668735959,1,-0.0076394347,6,10,"(2, 96)"
124,Minimax,"(64, 64)",optimize,0.0004720528370402,1,-0.008284423,6,10,"(2, 128)"
72,Instant Runoff,"(64, 64)",optimize,0.0004878879707629,1,-0.0068606287,6,10,"(2, 128)"
150,Plurality,"(64, 64)",optimize,0.0004836116728771,1,0.031522796,6,10,"(2, 128)"
20,Blacks,"(64, 64)",optimize,0.0004960056394689,1,-0.0025156704,6,10,"(2, 128)"
176,Split Cycle,"(64, 64)",optimize,0.0004664247800006,1,-0.009044782,6,10,"(2, 128)"
46,Borda,"(64, 64)",optimize,0.0004962389496426,1,-0.0049493047,6,10,"(2, 128)"
228,Strict Nanson,"(64, 64)",optimize,0.0004777316274427,1,-0.009366892,6,10,"(2, 128)"
98,Instant Runoff PUT,"(64, 64)",optimize,0.0004733914046642,1,-0.008156375,6,10,"(2, 128)"
202,Stable Voting,"(64, 64)",optimize,0.0004919441670569,1,-0.007748936,6,10,"(2, 128)"
26,Borda,"(128, 128)",optimize,0.0004992507090273,1,0.00019092845,6,10,"(2, 256)"
104,Minimax,"(128, 128)",optimize,0.0004843332794649,1,-0.009086902,6,10,"(2, 256)"
78,Instant Runoff PUT,"(128, 128)",optimize,0.00047125214249,1,-0.008123292,6,10,"(2, 256)"
208,Strict Nanson,"(128, 128)",optimize,0.000498452138255,1,-0.0102367,6,10,"(2, 256)"
0,Blacks,"(128, 128)",optimize,0.0004969017259891,1,-0.002810413,6,10,"(2, 256)"
182,Stable Voting,"(128, 128)",optimize,0.0004929249587089,1,-0.007547503,6,10,"(2, 256)"
52,Instant Runoff,"(128, 128)",optimize,0.0004881916788918,1,-0.00803869,6,10,"(2, 256)"
156,Split Cycle,"(128, 128)",optimize,0.0004860167215391,1,-0.010576264,6,10,"(2, 256)"
130,Plurality,"(128, 128)",optimize,0.0004899028364656,1,0.044870164,6,10,"(2, 256)"
7,Blacks,"(256, 128)",optimize,0.000495526737186,1,-0.010165649,6,10,"(2, 384)"
111,Minimax,"(256, 128)",optimize,0.0004825320576662,1,-0.0085045695,6,10,"(2, 384)"
163,Split Cycle,"(256, 128)",optimize,0.000481337145665,1,-0.010162228,6,10,"(2, 384)"
215,Strict Nanson,"(256, 128)",optimize,0.0004900987788118,1,-0.011144396,6,10,"(2, 384)"
33,Borda,"(256, 128)",optimize,0.0004985249869156,1,-0.0028013948,6,10,"(2, 384)"
189,Stable Voting,"(256, 128)",optimize,0.0004994155033681,1,-0.010889397,6,10,"(2, 384)"
85,Instant Runoff PUT,"(256, 128)",optimize,0.0004710271217014,1,-0.01008624,6,10,"(2, 384)"
59,Instant Runoff,"(256, 128)",optimize,0.0004871945177451,1,-0.009870326,6,10,"(2, 384)"
137,Plurality,"(256, 128)",optimize,0.0004977311373975,1,0.04568857,6,10,"(2, 384)"
8,Blacks,"(256, 256)",optimize,0.0004917194706519,1,-0.009679344,6,10,"(2, 512)"
