,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
103,Minimax,"(8,)",optimize,0.0004679170496775945,1,0.0036727604,4,6,"(0, 0)"
122,Plurality,"(512,)",optimize,0.0004765877036992654,1,0.01200364,4,6,"(0, 0)"
120,Plurality,"(4,)",optimize,0.0004692896818080887,1,0.011074022,4,6,"(0, 0)"
118,Plurality,"(32,)",optimize,0.0004968796519087922,1,0.011486618,4,6,"(0, 0)"
114,Plurality,"(256,)",optimize,0.00047099055321232845,1,0.012013063,4,6,"(0, 0)"
110,Plurality,"(16,)",optimize,0.0004761721163609632,1,0.010298801,4,6,"(0, 0)"
107,Plurality,"(128,)",optimize,0.00046740419699996505,1,0.012878206,4,6,"(0, 0)"
100,Minimax,"(64,)",optimize,0.0004658138400963641,1,0.013037141,4,6,"(0, 0)"
96,Minimax,"(512,)",optimize,0.00047501234494774455,1,0.012910473,4,6,"(0, 0)"
94,Minimax,"(4,)",optimize,0.0004605170392076617,1,-0.0024717175,4,6,"(0, 0)"
126,Plurality,"(64,)",optimize,0.000486395084689759,1,0.011958268,4,6,"(0, 0)"
92,Minimax,"(32,)",optimize,0.00045588592797719493,1,0.008768344,4,6,"(0, 0)"
84,Minimax,"(16,)",optimize,0.0004727486989151403,1,0.008772612,4,6,"(0, 0)"
81,Minimax,"(128,)",optimize,0.0004955960765069945,1,0.011059582,4,6,"(0, 0)"
77,Instant Runoff PUT,"(8,)",optimize,0.0004699375273076702,1,-0.0007537208,4,6,"(0, 0)"
74,Instant Runoff PUT,"(64,)",optimize,0.00045035054840561733,1,0.0036550153,4,6,"(0, 0)"
70,Instant Runoff PUT,"(512,)",optimize,0.00046313587430976704,1,0.0038318096,4,6,"(0, 0)"
68,Instant Runoff PUT,"(4,)",optimize,0.000476486168151582,1,-0.0017601005,4,6,"(0, 0)"
66,Instant Runoff PUT,"(32,)",optimize,0.0004529059629446065,1,0.00093970133,4,6,"(0, 0)"
62,Instant Runoff PUT,"(256,)",optimize,0.0004620932575080297,1,0.003825594,4,6,"(0, 0)"
58,Instant Runoff PUT,"(16,)",optimize,0.00046658905855932644,1,0.0004925994,4,6,"(0, 0)"
88,Minimax,"(256,)",optimize,0.00047249891018639616,1,0.015210162,4,6,"(0, 0)"
129,Plurality,"(8,)",optimize,0.0004896758348688837,1,0.010902442,4,6,"(0, 0)"
133,Split Cycle,"(128,)",optimize,0.0004954763308026736,1,0.011231786,4,6,"(0, 0)"
136,Split Cycle,"(16,)",optimize,0.00046966093010791354,1,0.006449175,4,6,"(0, 0)"
204,Strict Nanson,"(64,)",optimize,0.000481681683679196,1,0.010699048,4,6,"(0, 0)"
200,Strict Nanson,"(512,)",optimize,0.0004947561865518104,1,0.0127557665,4,6,"(0, 0)"
198,Strict Nanson,"(4,)",optimize,0.00048726145468312346,1,-0.0027864673,4,6,"(0, 0)"
196,Strict Nanson,"(32,)",optimize,0.0004816596536823919,1,0.012513553,4,6,"(0, 0)"
192,Strict Nanson,"(256,)",optimize,0.0004788508628094024,1,0.011234817,4,6,"(0, 0)"
188,Strict Nanson,"(16,)",optimize,0.00047048476680675374,1,0.008947321,4,6,"(0, 0)"
185,Strict Nanson,"(128,)",optimize,0.00048353630100265137,1,0.012047603,4,6,"(0, 0)"
181,Stable Voting,"(8,)",optimize,0.0004887318562872469,1,0.035674423,4,6,"(0, 0)"
178,Stable Voting,"(64,)",optimize,0.0004994863964277716,1,0.043123867,4,6,"(0, 0)"
174,Stable Voting,"(512,)",optimize,0.0004903876445198935,1,0.046338946,4,6,"(0, 0)"
172,Stable Voting,"(4,)",optimize,0.000493045710127178,1,0.0043227817,4,6,"(0, 0)"
170,Stable Voting,"(32,)",optimize,0.0004970913042744675,1,0.040587246,4,6,"(0, 0)"
166,Stable Voting,"(256,)",optimize,0.0004915625075324652,1,0.045736827,4,6,"(0, 0)"
162,Stable Voting,"(16,)",optimize,0.0004987986759725109,1,0.034422647,4,6,"(0, 0)"
159,Stable Voting,"(128,)",optimize,0.0004946195054061023,1,0.044725336,4,6,"(0, 0)"
155,Split Cycle,"(8,)",optimize,0.0004803734767586617,1,0.0009928162,4,6,"(0, 0)"
152,Split Cycle,"(64,)",optimize,0.00048771395947009617,1,0.010185493,4,6,"(0, 0)"
148,Split Cycle,"(512,)",optimize,0.0004973278873189419,1,0.011752883,4,6,"(0, 0)"
146,Split Cycle,"(4,)",optimize,0.0004929018476146869,1,-0.006524498,4,6,"(0, 0)"
144,Split Cycle,"(32,)",optimize,0.0004659195314678245,1,0.008600779,4,6,"(0, 0)"
140,Split Cycle,"(256,)",optimize,0.00048030273542498165,1,0.01407747,4,6,"(0, 0)"
55,Instant Runoff PUT,"(128,)",optimize,0.0004890050942904198,1,0.0031068602,4,6,"(0, 0)"
51,Instant Runoff,"(8,)",optimize,0.0004801228826310965,1,0.00024166633,4,6,"(0, 0)"
207,Strict Nanson,"(8,)",optimize,0.00046312908259469796,1,0.003774625,4,6,"(0, 0)"
14,Borda,"(32,)",optimize,0.0004954151924057695,1,0.05529582,4,6,"(0, 0)"
36,Instant Runoff,"(256,)",optimize,0.0004777854121941295,1,0.0009130727,4,6,"(0, 0)"
16,Borda,"(4,)",optimize,0.0004931654757211869,1,0.014537732,4,6,"(0, 0)"
42,Instant Runoff,"(4,)",optimize,0.0004970266573177684,1,0.00068677554,4,6,"(0, 0)"
18,Borda,"(512,)",optimize,0.0004912053617539681,1,0.058348347,4,6,"(0, 0)"
6,Borda,"(16,)",optimize,0.0004933890946157107,1,0.051625263,4,6,"(0, 0)"
40,Instant Runoff,"(32,)",optimize,0.00046711027464872934,1,0.002068788,4,6,"(0, 0)"
32,Instant Runoff,"(16,)",optimize,0.0004699795597017352,1,0.0009788255,4,6,"(0, 0)"
22,Borda,"(64,)",optimize,0.0004925194634820015,1,0.05753308,4,6,"(0, 0)"
44,Instant Runoff,"(512,)",optimize,0.0004771376532819748,1,0.0040695197,4,6,"(0, 0)"
10,Borda,"(256,)",optimize,0.0004909352632257138,1,0.058488235,4,6,"(0, 0)"
29,Instant Runoff,"(128,)",optimize,0.00047374972854692535,1,0.0014014111,4,6,"(0, 0)"
48,Instant Runoff,"(64,)",optimize,0.00046625099842190996,1,0.0040148743,4,6,"(0, 0)"
25,Borda,"(8,)",optimize,0.0004979396605011317,1,0.052646995,4,6,"(0, 0)"
3,Borda,"(128,)",optimize,0.0004910025338864739,1,0.058318518,4,6,"(0, 0)"
171,Stable Voting,"(4, 4)",optimize,0.0004964692443069978,1,-1.10439805e-05,4,6,"(2, 8)"
15,Borda,"(4, 4)",optimize,0.0004906273945662664,1,0.008611596,4,6,"(2, 8)"
41,Instant Runoff,"(4, 4)",optimize,0.0004698338465699718,1,-0.0044399328,4,6,"(2, 8)"
119,Plurality,"(4, 4)",optimize,0.0004913965215792138,1,0.0098853195,4,6,"(2, 8)"
145,Split Cycle,"(4, 4)",optimize,0.0004662963492901355,1,-0.0032089632,4,6,"(2, 8)"
93,Minimax,"(4, 4)",optimize,0.00046374135332750434,1,-0.003785374,4,6,"(2, 8)"
197,Strict Nanson,"(4, 4)",optimize,0.0004946087334917013,1,-0.003000021,4,6,"(2, 8)"
67,Instant Runoff PUT,"(4, 4)",optimize,0.0004868010370512201,1,-0.0050435113,4,6,"(2, 8)"
23,Borda,"(8, 8)",optimize,0.0004930130829433598,1,0.047176912,4,6,"(2, 16)"
153,Split Cycle,"(8, 8)",optimize,0.00045976644595483097,1,0.0030145885,4,6,"(2, 16)"
101,Minimax,"(8, 8)",optimize,0.0004536745799947846,1,0.003588184,4,6,"(2, 16)"
127,Plurality,"(8, 8)",optimize,0.0004846124966451867,1,0.010275078,4,6,"(2, 16)"
49,Instant Runoff,"(8, 8)",optimize,0.00046691078484606017,1,0.0008466263,4,6,"(2, 16)"
75,Instant Runoff PUT,"(8, 8)",optimize,0.00045069074436433217,1,0.0002765208,4,6,"(2, 16)"
